Inundated surface area [km2]Date,Panhandle,Nqoga-1a,Thaoge,Xudum,Boro,Nqoga-2a,Selinda,Mboroga,Khwai,
2010/01/01,0,0,0,0,0,0,0,0,0,
2010/02/01,124,0,0,0,0,0,0,0,0,
2010/03/01,267,0,0,0,0,0,0,0,0,
2010/04/01,457,0,0,0,0,0,0,0,0,
2010/05/01,2255,1025,0,0,0,0,0,0,0,
2010/06/01,2015,2792,0,0,0,0,0,0,0,
2010/07/01,1306,756,0,0,0,0,0,0,0,
2010/08/01,830,1214,0,0,0,0,0,0,0,
2010/09/01,664,301,0,0,1,170,0,0,0,
2010/10/01,446,602,0,0,1,84,0,0,0,
2010/11/01,413,198,0,0,0,80,0,0,0,
2010/12/01,366,391,0,0,0,95,0,0,0,
2011/01/01,371,306,0,0,0,162,0,0,0,
2011/02/01,762,715,0,0,0,173,0,0,0,
2011/03/01,1456,1340,0,0,0,237,0,0,0,
2011/04/01,1622,1630,0,0,2,291,0,0,0,
2011/05/01,2328,2155,0,0,5,326,0,0,0,
2011/06/01,1963,2070,0,6,21,352,0,0,0,
2011/07/01,1303,1251,0,18,49,283,0,0,0,
2011/08/01,900,920,0,25,75,209,0,0,0,
2011/09/01,689,606,0,27,83,164,0,0,0,
2011/10/01,478,434,0,20,70,115,0,0,0,
2011/11/01,424,336,0,5,42,113,0,0,0,
2011/12/01,388,374,0,0,16,141,0,0,0,
2012/01/01,397,340,0,0,6,148,0,0,0,
2012/02/01,766,702,0,0,4,178,0,0,0,
2012/03/01,1509,1384,0,0,4,236,0,0,0,
2012/04/01,1348,1362,0,0,10,251,0,0,0,
2012/05/01,1576,1444,0,1,24,258,0,0,0,
2012/06/01,1276,1394,0,9,37,302,0,0,0,
2012/07/01,706,717,0,16,56,268,0,0,0,
2012/08/01,599,568,0,18,65,180,0,0,0,
2012/09/01,445,393,0,14,55,136,0,0,0,
2012/10/01,418,334,0,4,36,108,0,0,0,
2012/11/01,373,303,0,0,12,100,0,0,0,
2012/12/01,334,279,0,0,3,116,0,0,0,
2013/01/01,339,348,0,0,1,175,0,0,0,
2013/02/01,427,371,0,0,1,161,0,0,0,
2013/03/01,929,795,0,0,1,147,0,0,0,
2013/04/01,1077,1049,0,0,1,203,0,0,0,
2013/05/01,1348,1243,0,0,2,233,0,0,0,
2013/06/01,1039,1086,0,0,4,241,0,0,0,
2013/07/01,684,635,0,0,14,200,0,0,0,
2013/08/01,448,444,0,0,19,156,0,0,0,
2013/09/01,440,347,0,0,15,129,0,0,0,
2013/10/01,409,350,0,0,5,103,0,0,0,
2013/11/01,356,281,0,0,2,108,0,0,0,
2013/12/01,305,321,0,0,0,163,0,0,0,
2014/01/01,311,276,0,0,0,165,0,0,0,
2014/02/01,370,356,0,0,0,162,0,0,0,
2014/03/01,434,473,0,0,1,226,0,0,0,
2014/04/01,965,937,0,0,2,269,0,0,0,
2014/05/01,1364,1347,0,0,4,289,0,0,0,
2014/06/01,1418,1459,0,0,13,331,0,0,0,
2014/07/01,945,1035,0,1,27,314,0,0,0,
2014/08/01,572,546,0,7,36,209,0,0,0,
2014/09/01,453,404,0,6,33,139,0,0,0,
2014/10/01,420,329,0,0,19,107,0,0,0,
2014/11/01,368,299,0,0,4,98,0,0,0,
2014/12/01,321,259,0,0,1,107,0,0,0,
