,Panhandle,Nqoga,Thaoge,Xudum,Boro,Maunachira,Selinda,Mboroga,Khwai
2010-01-01,802,1065,6,82,885,887,6,654,36
2010-02-01,847,1239,15,98,941,943,14,570,110
2010-03-01,868,1326,39,59,873,877,36,588,125
2010-04-01,861,1364,167,201,1304,975,200,683,145
2010-05-01,923,1343,212,748,1694,1085,307,754,63
2010-06-01,873,1382,456,1210,1740,1158,420,903,161
2010-07-01,842,1313,486,1964,1740,1126,443,1030,267
2010-08-01,834,1277,346,2053,1740,1118,409,1030,347
2010-09-01,822,1228,196,1787,1740,1075,322,1030,335
2010-10-01,802,1061,28,1343,1740,962,200,1030,242
2010-11-01,772,937,30,852,1740,856,40,966,74
2010-12-01,743,967,5,516,1649,834,9,881,38
2011-01-01,804,1084,11,489,1688,882,16,940,68
2011-02-01,881,1167,148,196,1472,900,43,897,119
2011-03-01,846,1395,191,504,1716,977,145,963,156
2011-04-01,906,1322,320,888,1740,1084,308,990,180
2011-05-01,906,1375,486,1403,1740,1156,529,1030,256
2011-06-01,874,1365,636,2118,1740,1136,683,1030,362
2011-07-01,845,1315,715,2559,1740,1138,723,1030,464
2011-08-01,834,1283,643,2511,1740,1113,689,1030,500
2011-09-01,824,1219,507,2174,1740,1074,586,1030,495
2011-10-01,811,1057,321,1567,1740,961,355,1030,414
2011-11-01,790,1002,88,1178,1740,872,244,1030,342
2011-12-01,762,1047,28,1034,1740,853,157,1030,334
2012-01-01,816,1019,34,779,1740,871,119,1030,272
2012-02-01,867,1143,159,674,1671,934,201,1030,258
2012-03-01,863,1222,209,743,1624,894,251,1030,241
2012-04-01,857,1318,309,1056,1740,887,315,1030,259
2012-05-01,889,1325,249,1186,1740,960,408,1030,254
2012-06-01,829,1328,361,1503,1740,1031,497,1030,325
2012-07-01,833,1280,334,1782,1740,1087,482,1030,370
2012-08-01,818,1254,131,1622,1740,1081,412,1030,384
2012-09-01,802,1174,38,1240,1740,1000,308,1030,299
2012-10-01,762,1036,5,819,1724,927,197,979,237
2012-11-01,712,892,6,225,1271,746,32,811,77
2012-12-01,697,864,0,52,1081,705,2,725,41
2013-01-01,759,1032,4,14,1174,817,9,795,78
2013-02-01,861,1001,9,34,895,827,14,734,121
2013-03-01,822,1030,27,50,568,803,31,671,134
2013-04-01,876,1076,49,349,640,820,50,555,120
2013-05-01,849,1202,73,674,905,843,123,574,138
2013-06-01,845,1336,90,486,1298,866,147,564,209
2013-07-01,815,1274,95,557,1570,928,153,647,73
2013-08-01,817,1232,14,570,1497,853,105,587,87
2013-09-01,791,1147,3,118,1216,727,12,524,118
2013-10-01,751,1005,5,18,821,667,2,332,29
2013-11-01,697,971,0,10,290,554,0,266,16
2013-12-01,723,1061,2,0,328,596,2,177,32
2014-01-01,714,1078,2,8,212,667,0,262,109
2014-02-01,793,1187,5,11,261,716,4,332,53
2014-03-01,850,1394,16,30,592,891,16,494,150
2014-04-01,839,1272,39,67,643,966,39,554,223
2014-05-01,876,1319,66,139,873,1011,123,598,262
2014-06-01,857,1336,177,430,1264,1093,220,693,291
2014-07-01,825,1301,285,769,1680,1143,162,775,360
2014-08-01,823,1255,45,552,1740,1104,122,863,417
2014-09-01,805,1184,48,402,1513,1026,28,801,369
2014-10-01,759,1025,2,74,1134,886,2,673,266
2014-11-01,705,890,3,10,793,813,0,513,162
2014-12-01,672,749,0,12,232,709,0,337,124
