,Panhandle,Nqoga,Thaoge,Xudum,Boro,Maunachira,Selinda,Mboroga,Khwai
2010-01-01,367,361,0,0,1,167,0,0,0
2010-02-01,567,548,0,0,2,211,0,0,0
2010-03-01,1270,1168,0,0,2,236,0,0,0
2010-04-01,1421,1536,0,0,3,350,0,0,0
2010-05-01,2029,1995,0,0,24,432,0,0,0
2010-06-01,2163,2315,0,0,61,494,0,0,0
2010-07-01,1276,1425,0,30,111,512,0,0,0
2010-08-01,856,850,0,53,141,291,0,5,0
2010-09-01,641,608,0,48,134,173,0,13,0
2010-10-01,442,364,0,29,106,116,0,5,0
2010-11-01,413,341,0,5,72,109,0,0,0
2010-12-01,379,340,0,0,45,136,0,0,0
2011-01-01,397,384,0,0,35,173,0,0,0
2011-02-01,962,861,0,0,29,204,0,0,0
2011-03-01,1406,1391,0,0,30,272,0,0,0
2011-04-01,1682,1744,0,0,51,389,0,0,0
2011-05-01,2337,2334,0,7,78,478,0,0,0
2011-06-01,1977,2180,0,40,119,588,0,2,0
2011-07-01,1315,1394,0,73,166,477,0,20,0
2011-08-01,892,935,0,85,186,307,0,37,0
2011-09-01,666,602,0,73,175,180,0,41,0
2011-10-01,448,396,0,46,144,116,0,32,0
2011-11-01,428,346,0,19,106,118,0,19,0
2011-12-01,400,383,0,5,81,148,0,11,0
2012-01-01,416,364,0,0,61,155,0,6,0
2012-02-01,940,857,0,0,43,196,0,1,0
2012-03-01,1431,1361,0,0,34,248,0,0,0
2012-04-01,1328,1306,0,0,41,251,0,0,0
2012-05-01,1609,1578,0,6,60,311,0,0,0
2012-06-01,1310,1437,0,17,83,358,0,0,0
2012-07-01,709,744,0,33,106,277,0,2,0
2012-08-01,587,545,0,36,108,183,0,6,0
2012-09-01,439,396,0,22,88,137,0,3,0
2012-10-01,407,321,0,2,57,111,0,0,0
2012-11-01,356,292,0,0,24,101,0,0,0
2012-12-01,320,264,0,0,4,117,0,0,0
2013-01-01,347,356,0,0,4,177,0,0,0
2013-02-01,441,387,0,0,3,166,0,0,0
2013-03-01,938,806,0,0,0,151,0,0,0
2013-04-01,1101,1074,0,0,0,208,0,0,0
2013-05-01,1383,1282,0,0,0,240,0,0,0
2013-06-01,1044,1102,0,0,3,249,0,0,0
2013-07-01,692,693,0,0,19,238,0,0,0
2013-08-01,446,449,0,0,26,183,0,0,0
2013-09-01,432,340,0,0,14,125,0,0,0
2013-10-01,395,340,0,0,3,107,0,0,0
2013-11-01,342,265,0,0,0,109,0,0,0
2013-12-01,305,321,0,0,0,165,0,0,0
2014-01-01,315,281,0,0,0,169,0,0,0
2014-02-01,375,362,0,0,0,165,0,0,0
2014-03-01,509,562,0,0,0,249,0,0,0
2014-04-01,988,996,0,0,0,301,0,0,0
2014-05-01,1275,1265,0,0,0,293,0,0,0
2014-06-01,1474,1499,0,0,3,332,0,0,0
2014-07-01,929,1054,0,0,22,335,0,0,0
2014-08-01,562,517,0,0,40,237,0,0,0
2014-09-01,444,411,0,0,34,139,0,0,0
2014-10-01,407,308,0,0,12,108,0,0,0
2014-11-01,351,291,0,0,2,98,0,0,0
2014-12-01,305,245,0,0,0,104,0,0,0
