Date,Panhandle,Nqoga-1a,Thaoge,Xudum,Boro,Nqoga-2a,Selinda,Mboroga,Khwai,
1967/03/01,96,18,9,0,0,17,8,1,2,
1967/04/01,336,88,9,0,0,17,7,1,2,
1967/05/01,689,199,3,0,0,7,2,1,2,
1967/06/01,839,365,1,0,0,3,0,0,0,
1967/07/01,834,500,0,0,0,0,0,0,0,
1967/08/01,825,543,22,0,3,108,15,0,0,
1967/09/01,818,574,32,58,88,190,21,0,0,
1967/10/01,789,595,33,84,134,250,22,0,0,
1967/11/01,750,618,38,89,154,319,25,0,0,
1967/12/01,757,634,38,103,186,376,25,0,0,
1968/01/01,876,650,44,104,201,439,29,0,0,
1968/02/01,910,735,128,122,234,500,84,0,0,
1968/03/01,954,865,267,372,528,562,177,0,0,
1968/04/01,881,983,380,809,1030,620,252,101,32,
1968/05/01,877,1064,444,1173,1453,662,294,192,62,
1968/06/01,849,1111,477,1374,1696,693,316,257,84,
1968/07/01,837,1146,491,1470,1740,717,325,304,97,
1968/08/01,830,1159,466,1508,1740,732,305,339,106,
1968/09/01,822,1142,399,1424,1740,737,256,360,115,
1968/10/01,812,1037,276,1227,1740,723,168,367,119,
1968/11/01,775,1046,225,885,1334,728,134,345,120,
1968/12/01,752,1018,163,755,1201,731,92,351,123,
1969/01/01,771,967,106,582,1016,723,56,354,125,
1969/02/01,815,1116,146,409,816,757,94,340,126,
1969/03/01,875,1149,221,669,1186,777,146,391,141,
1969/04/01,887,1216,341,825,1326,796,233,411,151,
1969/05/01,925,1347,465,1152,1638,833,320,434,161,
1969/06/01,846,1356,541,1484,1740,880,372,485,177,
1969/07/01,840,1286,546,1832,1740,910,378,550,195,
1969/08/01,831,1274,513,1835,1740,916,355,591,207,
1969/09/01,825,1248,449,1671,1740,911,311,601,213,
1969/10/01,817,1122,324,1434,1740,857,220,592,214,
1969/11/01,797,1092,255,1048,1740,842,172,518,183,
1969/12/01,806,984,163,855,1544,791,105,491,179,
1970/01/01,836,1035,167,576,1140,807,112,421,153,
1970/02/01,840,1047,194,587,1147,810,135,439,165,
1970/03/01,858,1062,232,623,1155,801,165,441,170,
1970/04/01,896,1122,306,685,1212,821,222,431,172,
1970/05/01,867,1208,395,948,1437,854,286,457,182,
1970/06/01,838,1254,422,1189,1706,883,311,503,196,
1970/07/01,830,1280,423,1283,1740,897,313,543,206,
1970/08/01,826,1256,380,1283,1740,899,281,561,213,
1970/09/01,821,1187,308,1154,1652,878,227,563,215,
1970/10/01,810,1035,199,958,1399,808,142,532,207,
1970/11/01,772,992,140,644,1028,782,99,439,164,
