Inundated surface area [km2]Date,Panhandle,Nqoga-1a,Thaoge,Xudum,Boro,Nqoga-2a,Selinda,Mboroga,Khwai,
1967/03/01,0,0,0,0,0,0,0,0,0,
1967/04/01,138,0,0,0,0,0,0,0,0,
1967/05/01,251,0,0,0,0,0,0,0,0,
1967/06/01,389,0,0,0,0,0,0,0,0,
1967/07/01,829,5,0,0,0,0,0,0,0,
1967/08/01,678,628,0,0,0,0,0,0,0,
1967/09/01,503,462,0,0,0,0,0,0,0,
1967/10/01,432,347,0,0,0,0,0,0,0,
1967/11/01,393,372,0,0,0,0,0,0,0,
1967/12/01,375,319,0,0,0,0,0,0,0,
1968/01/01,449,402,0,0,0,0,0,0,0,
1968/02/01,2043,1826,0,0,0,0,0,0,0,
1968/03/01,2914,2923,0,0,0,426,0,0,0,
1968/04/01,2596,2598,0,0,1,432,0,0,0,
1968/05/01,1736,1818,0,0,7,354,0,0,0,
1968/06/01,1392,1331,0,13,29,274,0,0,0,
1968/07/01,963,1010,0,21,46,232,0,0,0,
1968/08/01,754,687,0,24,60,192,0,0,0,
1968/09/01,599,584,0,23,62,155,0,0,0,
1968/10/01,448,358,0,16,50,115,0,0,0,
1968/11/01,420,379,0,3,27,119,0,0,0,
1968/12/01,385,329,0,0,8,131,0,0,0,
1969/01/01,383,311,0,0,3,107,0,0,0,
1969/02/01,420,449,0,0,2,193,0,0,0,
1969/03/01,1011,917,0,0,2,233,0,0,0,
1969/04/01,1787,1674,0,0,7,252,0,0,0,
1969/05/01,2341,2288,0,0,22,357,0,0,0,
1969/06/01,1899,2049,0,16,57,425,0,0,0,
1969/07/01,967,1068,0,34,102,351,0,0,0,
1969/08/01,801,744,0,43,123,217,0,0,0,
1969/09/01,645,629,0,39,115,169,0,0,0,
1969/10/01,502,410,0,28,97,124,0,0,0,
1969/11/01,436,390,0,12,67,119,0,0,0,
1969/12/01,430,336,0,0,37,110,0,0,0,
1970/01/01,503,455,0,0,13,133,0,0,0,
1970/02/01,851,747,0,0,4,168,0,0,0,
1970/03/01,1084,992,0,0,4,166,0,0,0,
1970/04/01,1692,1549,0,0,4,231,0,0,0,
1970/05/01,1785,1775,0,0,12,291,0,0,0,
1970/06/01,1160,1172,0,3,28,264,0,0,0,
1970/07/01,770,746,0,11,44,202,0,0,0,
1970/08/01,639,595,0,14,48,169,0,0,0,
1970/09/01,544,488,0,11,40,142,0,0,0,
1970/10/01,446,361,0,3,25,103,0,0,0,
1970/11/01,417,339,0,0,5,101,0,0,0,
1970/12/01,383,367,0,0,2,151,0,0,0,
1971/01/01,390,366,0,0,1,170,0,0,0,
1971/02/01,586,500,0,0,2,144,0,0,0,
1971/03/01,1198,1063,0,0,1,176,0,0,0,
1971/04/01,1323,1318,0,0,2,248,0,0,0,
1971/05/01,1338,1267,0,0,4,254,0,0,0,
1971/06/01,936,966,0,0,14,224,0,0,0,
