Date,Total inundation,
1967/03/01,151,
1967/04/01,460,
1967/05/01,903,
1967/06/01,1208,
1967/07/01,1334,
1967/08/01,1516,
1967/09/01,1781,
1967/10/01,1907,
1967/11/01,1993,
1967/12/01,2119,
1968/01/01,2343,
1968/02/01,2713,
1968/03/01,3725,
1968/04/01,5088,
1968/05/01,6221,
1968/06/01,6857,
1968/07/01,7127,
1968/08/01,7185,
1968/09/01,6995,
1968/10/01,6469,
1968/11/01,5592,
1968/12/01,5186,
1969/01/01,4700,
1969/02/01,4619,
1969/03/01,5555,
1969/04/01,6186,
1969/05/01,7275,
1969/06/01,7881,
1969/07/01,8277,
1969/08/01,8262,
1969/09/01,7969,
1969/10/01,7320,
1969/11/01,6647,
1969/12/01,5918,
1970/01/01,5247,
1970/02/01,5364,
1970/03/01,5507,
1970/04/01,5867,
1970/05/01,6634,
1970/06/01,7302,
1970/07/01,7515,
1970/08/01,7439,
1970/09/01,7005,
1970/10/01,6090,
1970/11/01,5060,
1970/12/01,4737,
1971/01/01,4955,
1971/02/01,5076,
1971/03/01,5125,
1971/04/01,5741,
1971/05/01,6431,
1971/06/01,6886,
1971/07/01,7071,
1971/08/01,6999,
1971/09/01,6472,
1971/10/01,5502,
1971/11/01,4644,
1971/12/01,4298,
1972/01/01,4500,
1972/02/01,5199,
1972/03/01,5465,
1972/04/01,5963,
1972/05/01,6203,
1972/06/01,6527,
1972/07/01,6782,
1972/08/01,6814,
1972/09/01,6411,
1972/10/01,5559,
1972/11/01,4556,
1972/12/01,3620,
1973/01/01,3263,
1973/02/01,3207,
1973/03/01,3311,
1973/04/01,3462,
1973/05/01,3735,
1973/06/01,4261,
1973/07/01,4632,
1973/08/01,4783,
1973/09/01,4620,
1973/10/01,4367,
1973/11/01,4285,
1973/12/01,4280,
1974/01/01,5374,
1974/02/01,6809,
1974/03/01,7736,
1974/04/01,7999,
1974/05/01,8111,
1974/06/01,8314,
1974/07/01,8425,
1974/08/01,8368,
1974/09/01,8040,
1974/10/01,7185,
1974/11/01,6525,
1974/12/01,6287,
1975/01/01,6021,
1975/02/01,6375,
1975/03/01,6808,
1975/04/01,7984,
1975/05/01,8855,
1975/06/01,9154,
1975/07/01,9360,
1975/08/01,9277,
1975/09/01,8867,
1975/10/01,8086,
1975/11/01,7236,
1975/12/01,6292,
1976/01/01,6071,
1976/02/01,6236,
1976/03/01,6436,
1976/04/01,6998,
1976/05/01,7846,
1976/06/01,8663,
1976/07/01,8985,
1976/08/01,9000,
1976/09/01,8816,
1976/10/01,8288,
1976/11/01,7788,
