Date,Total inundation,
2010/01/01,184,
2010/02/01,466,
2010/03/01,1004,
2010/04/01,1367,
2010/05/01,1748,
2010/06/01,2711,
2010/07/01,3779,
2010/08/01,4026,
2010/09/01,4156,
2010/10/01,3848,
2010/11/01,3623,
2010/12/01,3311,
2011/01/01,3441,
2011/02/01,3815,
2011/03/01,4274,
2011/04/01,5261,
2011/05/01,6093,
2011/06/01,6954,
2011/07/01,7475,
2011/08/01,7625,
2011/09/01,7440,
2011/10/01,6809,
2011/11/01,5961,
2011/12/01,5395,
2012/01/01,5331,
2012/02/01,5312,
2012/03/01,5838,
2012/04/01,6557,
2012/05/01,7140,
2012/06/01,7593,
2012/07/01,7702,
2012/08/01,7594,
2012/09/01,7175,
2012/10/01,6255,
2012/11/01,5212,
2012/12/01,4550,
2013/01/01,4537,
2013/02/01,4961,
2013/03/01,4848,
2013/04/01,5284,
2013/05/01,5826,
2013/06/01,6419,
2013/07/01,6739,
2013/08/01,6706,
2013/09/01,6208,
2013/10/01,5385,
2013/11/01,4617,
2013/12/01,4429,
2014/01/01,4712,
2014/02/01,4800,
2014/03/01,5320,
2014/04/01,5965,
2014/05/01,6580,
2014/06/01,7241,
2014/07/01,7675,
2014/08/01,7765,
2014/09/01,7258,
2014/10/01,6263,
2014/11/01,5187,
2014/12/01,4478,
