,Panhandle,Nqoga,Thaoge,Xudum,Boro,Maunachira,Selinda,Mboroga,Khwai
1967-03-01,365,304,0,0,0,121,0,0,0
1967-04-01,662,637,0,0,0,201,0,0,0
1967-05-01,1094,1040,0,0,0,244,0,0,0
1967-06-01,1134,1116,0,0,0,240,0,0,0
1967-07-01,966,975,0,0,2,252,0,0,0
1967-08-01,629,667,0,0,6,231,0,0,0
1967-09-01,519,456,0,0,6,170,0,0,0
1967-10-01,427,376,0,0,3,121,0,0,0
1967-11-01,401,365,0,0,1,152,0,0,0
1967-12-01,388,353,0,0,0,151,0,0,0
1968-01-01,589,519,0,0,0,158,0,0,0
1968-02-01,2159,2023,0,0,0,338,0,0,0
1968-03-01,2933,3159,0,0,4,609,0,0,0
1968-04-01,2626,2847,0,15,78,779,0,0,0
1968-05-01,1748,2002,0,77,162,720,0,0,0
1968-06-01,1383,1431,0,110,211,492,0,19,0
1968-07-01,971,1087,0,118,227,383,0,43,0
1968-08-01,753,731,0,112,223,281,0,53,0
1968-09-01,574,562,0,91,202,177,0,54,0
1968-10-01,442,352,0,61,165,122,0,45,0
1968-11-01,419,381,0,31,129,130,0,33,0
1968-12-01,390,334,0,6,99,140,0,23,0
1969-01-01,384,318,0,0,66,116,0,12,0
1969-02-01,447,473,0,0,59,202,0,12,0
1969-03-01,1185,1087,0,0,61,259,0,17,0
1969-04-01,1620,1639,0,0,57,308,0,15,0
1969-05-01,2453,2411,0,0,74,446,0,15,0
1969-06-01,1898,2145,0,26,115,586,0,21,0
1969-07-01,985,1036,0,62,162,417,0,36,0
1969-08-01,786,783,0,71,176,244,0,49,0
1969-09-01,630,585,0,58,159,175,0,49,0
1969-10-01,459,397,0,35,129,124,0,39,0
1969-11-01,438,367,0,12,95,122,0,26,0
1969-12-01,429,358,0,0,58,114,0,13,0
1970-01-01,546,480,0,0,29,140,0,3,0
1970-02-01,860,779,0,0,14,175,0,0,0
1970-03-01,1024,930,0,0,4,167,0,0,0
1970-04-01,1771,1614,0,0,4,235,0,0,0
1970-05-01,1816,1826,0,0,18,302,0,0,0
1970-06-01,1174,1258,0,0,53,320,0,0,0
1970-07-01,777,799,0,9,81,267,0,0,0
1970-08-01,616,571,0,8,82,176,0,0,0
1970-09-01,518,465,0,2,66,140,0,0,0
1970-10-01,437,349,0,0,37,106,0,0,0
1970-11-01,409,336,0,0,9,103,0,0,0
1970-12-01,391,375,0,0,4,155,0,0,0
1971-01-01,407,387,0,0,3,175,0,0,0
1971-02-01,645,555,0,0,0,152,0,0,0
1971-03-01,1142,1031,0,0,0,179,0,0,0
1971-04-01,1397,1361,0,0,0,252,0,0,0
1971-05-01,1340,1304,0,0,3,262,0,0,0
1971-06-01,929,945,0,0,17,230,0,0,0
1971-07-01,703,703,0,0,32,223,0,0,0
1971-08-01,485,473,0,0,32,181,0,0,0
1971-09-01,444,360,0,0,18,125,0,0,0
1971-10-01,413,338,0,0,3,99,0,0,0
1971-11-01,377,303,0,0,0,106,0,0,0
1971-12-01,348,312,0,0,0,131,0,0,0
1972-01-01,351,385,0,0,0,206,0,0,0
1972-02-01,387,375,0,0,0,198,0,0,0
1972-03-01,432,466,0,0,0,211,0,0,0
1972-04-01,678,716,0,0,0,274,0,0,0
1972-05-01,824,771,0,0,0,219,0,0,0
1972-06-01,886,902,0,0,1,234,0,0,0
1972-07-01,684,709,0,0,2,245,0,0,0
1972-08-01,495,466,0,0,3,181,0,0,0
1972-09-01,438,375,0,0,2,133,0,0,0
1972-10-01,406,327,0,0,0,107,0,0,0
1972-11-01,353,256,0,0,0,74,0,0,0
1972-12-01,304,227,0,0,0,62,0,0,0
1973-01-01,287,221,0,0,0,83,0,0,0
1973-02-01,317,255,0,0,0,116,0,0,0
1973-03-01,384,324,0,0,0,126,0,0,0
1973-04-01,541,466,0,0,0,137,0,0,0
1973-05-01,942,859,0,0,0,184,0,0,0
1973-06-01,872,869,0,0,0,209,0,0,0
1973-07-01,674,637,0,0,0,191,0,0,0
1973-08-01,441,423,0,0,0,154,0,0,0
1973-09-01,422,337,0,0,0,123,0,0,0
1973-10-01,397,379,0,0,0,141,0,0,0
1973-11-01,360,295,0,0,0,133,0,0,0
1973-12-01,351,401,0,0,0,200,0,0,0
1974-01-01,404,512,0,0,0,311,0,0,0
1974-02-01,714,1052,0,0,0,512,0,0,0
1974-03-01,735,902,0,0,5,730,0,0,0
1974-04-01,631,588,0,0,21,222,0,0,0
1974-05-01,943,947,0,0,26,297,0,18,0
1974-06-01,1119,1131,0,0,30,331,0,21,0
1974-07-01,875,941,0,0,43,334,0,27,0
1974-08-01,527,517,0,0,52,223,0,32,0
1974-09-01,451,398,0,0,44,148,0,32,0
1974-10-01,422,349,0,0,21,120,0,23,0
1974-11-01,393,363,0,0,6,146,0,15,0
1974-12-01,368,317,0,0,3,144,0,9,0
1975-01-01,366,351,0,0,2,161,0,7,0
1975-02-01,423,406,0,0,2,186,0,9,0
1975-03-01,981,983,0,0,3,275,0,14,0
1975-04-01,1877,1970,0,0,11,575,0,23,0
1975-05-01,2027,2134,0,0,45,580,0,37,0
1975-06-01,1327,1478,0,13,93,487,0,56,0
1975-07-01,912,938,0,41,127,356,0,72,1
1975-08-01,677,700,0,47,133,248,0,79,12
1975-09-01,516,456,0,34,119,164,0,75,12
1975-10-01,430,362,0,13,88,113,0,63,1
1975-11-01,392,295,0,0,49,93,0,44,0
1975-12-01,354,309,0,0,18,116,0,28,0
1976-01-01,360,345,0,0,6,168,0,22,0
1976-02-01,410,390,0,0,4,177,0,19,0
1976-03-01,689,638,0,0,4,193,0,20,0
1976-04-01,1278,1189,0,0,6,235,0,20,0
1976-05-01,1691,1658,0,0,16,297,0,17,0
1976-06-01,1763,1855,0,0,46,404,0,19,0
1976-07-01,1195,1323,0,7,86,432,0,26,0
1976-08-01,778,778,0,26,110,294,0,34,4
1976-09-01,617,591,0,27,108,183,0,39,9
1976-10-01,445,388,0,14,88,136,0,33,3
1976-11-01,428,368,0,0,63,129,0,24,0
1976-12-01,403,346,0,0,33,127,0,13,0
1977-01-01,397,344,0,0,10,132,0,5,0
1977-02-01,579,610,0,0,12,233,0,7,0
1977-03-01,1019,1080,0,0,26,364,0,14,0
1977-04-01,854,939,0,0,39,410,0,22,3
1977-05-01,1150,1072,0,0,47,271,0,31,10
1977-06-01,1421,1485,0,0,56,376,0,38,15
1977-07-01,1064,1141,0,13,76,393,0,43,19
1977-08-01,597,624,0,24,92,264,0,50,23
1977-09-01,532,465,0,22,88,162,0,53,22
1977-10-01,428,376,0,9,63,121,0,44,10
1977-11-01,399,318,0,0,35,115,0,31,0
1977-12-01,394,441,0,0,33,202,0,30,0
1978-01-01,422,459,0,0,41,248,0,34,11
1978-02-01,715,860,0,0,55,536,0,44,26
1978-03-01,877,987,0,7,67,500,0,63,39
1978-04-01,908,863,0,10,66,273,0,78,39
1978-05-01,1366,1348,0,14,68,313,0,83,38
1978-06-01,1577,1657,0,26,82,459,0,83,36
1978-07-01,1116,1231,0,45,109,435,0,89,39
1978-08-01,670,681,0,56,125,279,0,96,42
1978-09-01,553,497,0,48,116,161,0,94,35
1978-10-01,438,383,0,28,89,127,0,81,20
1978-11-01,419,345,0,9,57,121,0,64,3
1978-12-01,396,345,0,0,31,126,0,50,0
1979-01-01,404,375,0,0,19,159,0,42,0
1979-02-01,448,406,0,0,10,161,0,35,0
1979-03-01,776,663,0,0,3,150,0,26,0
1979-04-01,1828,1670,0,0,2,245,0,17,0
1979-05-01,2644,2611,0,0,7,400,0,13,0
1979-06-01,1623,1890,0,7,63,464,0,17,0
1979-07-01,862,867,0,38,118,329,0,27,0
1979-08-01,685,675,0,47,129,189,0,33,2
1979-09-01,509,443,0,33,111,146,0,29,1
1979-10-01,441,378,0,13,82,118,0,19,0
1979-11-01,419,354,0,0,49,123,0,8,0
1979-12-01,396,335,0,0,18,119,0,0,0
1980-01-01,410,337,0,0,3,116,0,0,0
1980-02-01,617,632,0,0,4,217,0,0,0
1980-03-01,944,899,0,0,14,247,0,8,0
1980-04-01,1263,1178,0,0,16,216,0,6,0
1980-05-01,1251,1291,0,0,27,282,0,5,0
1980-06-01,841,882,0,0,45,275,0,6,0
1980-07-01,695,684,0,5,57,223,0,10,0
1980-08-01,479,464,0,4,54,173,0,10,0
1980-09-01,442,362,0,0,38,130,0,6,0
1980-10-01,413,340,0,0,8,103,0,0,0
1980-11-01,382,326,0,0,2,123,0,0,0
1980-12-01,356,325,0,0,0,143,0,0,0
1981-01-01,342,320,0,0,0,159,0,0,0
1981-02-01,357,372,0,0,0,193,0,0,0
1981-03-01,410,380,0,0,0,180,0,0,0
1981-04-01,1009,890,0,0,0,187,0,0,0
1981-05-01,1846,1791,0,0,0,303,0,0,0
1981-06-01,1529,1693,0,0,3,404,0,0,0
1981-07-01,821,872,0,0,33,315,0,0,0
1981-08-01,623,592,0,0,51,194,0,0,0
1981-09-01,478,431,0,0,40,145,0,0,0
1981-10-01,428,337,0,0,16,107,0,0,0
1981-11-01,397,349,0,0,3,121,0,0,0
1981-12-01,357,295,0,0,0,125,0,0,0
1982-01-01,323,254,0,0,0,96,0,0,0
1982-02-01,323,256,0,0,0,105,0,0,0
1982-03-01,361,299,0,0,0,120,0,0,0
1982-04-01,814,710,0,0,0,160,0,0,0
1982-05-01,1678,1562,0,0,0,252,0,0,0
1982-06-01,1277,1349,0,0,0,281,0,0,0
